year,treatment,replicate,station,core,section,depth,soil_dwt,cum_soil_dw,c_prct,n_prct,gavel_free_Bd,Comments,Outliers
#,,,,,,cm,kg_m2,kg_m2,%,%,g/cm3,,
2001,CF,3,3,1,M,36,229.3192385,455.6818339,0.205333333,0.026633333,1.348936697,soils re-processed and analyzed in July 2019,
2001,CF,3,3,1,D,95,837.8015295,1293.483363,0.052,0.0085,1.420002592,soils re-processed and analyzed in July 2019,
2001,CF,3,4,1,S,19,233.0509238,233.0509238,0.955333333,0.084666667,1.226583809,soils re-processed and analyzed in July 2019,
2001,CF,3,4,1,M,34,209.7049264,442.7558501,0.3197861,0.03055216,1.398032842,,
2001,CF,3,4,1,D,100,850.2883226,1293.044173,,,1.28831564,No data,
2001,CF,3,5,1,S,20,243.2987057,243.2987057,1.124,0.107066667,1.216493529,soils re-processed and analyzed in July 2019,
2001,CF,3,5,1,M,53,470.3286988,713.6274045,0.195633333,0.0317,1.425238481,soils re-processed and analyzed in July 2019,
2001,CF,3,5,1,D,100,620.5600341,1334.187439,0.055333333,0.011533333,1.320340498,soils re-processed and analyzed in July 2019,
2001,DF,1,1,1,S,24,267.2963128,267.2963128,1.780266667,0.133166667,1.113734637,soils re-processed and analyzed in May 2019,
2001,DF,1,1,1,M,68,649.4234717,916.7197845,0.213366667,0.018933333,1.475962436,soils re-processed and analyzed in May 2019,
2001,DF,1,1,1,D,100,424.8595486,1341.579333,0.083466667,0.008333333,1.327686089,soils re-processed and analyzed in May 2019,
2001,DF,1,2,1,S,11,109.2881453,109.2881453,1.759166667,0.128,0.993528593,soils re-processed and analyzed in July 2019,
2001,DF,1,2,1,M,66,762.2925996,871.5807449,0.1919,0.0329,1.385986545,soils re-processed and analyzed in July 2019,
2001,DF,1,2,1,D,100,491.9437683,1363.524513,0.054466667,0.0175,1.446893436,soils re-processed and analyzed in July 2019,
2001,DF,1,3,1,S,12,139.6066531,139.6066531,1.661066667,0.117033333,1.163388776,soils re-processed and analyzed in May 2019,
2001,DF,1,3,1,M,53,536.4969333,676.1035864,0.240766667,0.018933333,1.308529106,soils re-processed and analyzed in May 2019,
2001,DF,1,3,1,D,100,619.5699893,1295.673576,0.064866667,0.007533333,1.31823402,soils re-processed and analyzed in May 2019,
2001,DF,1,4,1,S,20,224.4967528,224.4967528,1.351266667,0.107266667,1.122483764,soils re-processed and analyzed in July 2019,
2001,DF,1,4,1,M,47,407.5215645,632.0183173,0.203966667,0.035466667,1.509339128,soils re-processed and analyzed in July 2019,
2001,DF,1,4,1,D,100,670.8376043,1302.855922,0.053408,0.02382016,1.265731329,,
2001,DF,1,5,1,S,16,61.98185769,61.98185769,,0.215733333,1.033030962,soils re-processed and analyzed in May 2019,%C= 3.221
2001,DF,1,5,1,M,40,393.2289227,455.2107804,0.574766667,0.045266667,,soils re-processed and analyzed in May 2019,Bulk density outlier= 1.157
2001,DF,1,5,1,D,100,779.8315206,1235.042301,0.048433333,0.016133333,1.299719201,soils re-processed and analyzed in July 2019,
2001,DF,2,1,1,S,18,199.8762414,199.8762414,1.5366,0.116566667,1.110423563,soils re-processed and analyzed in July 2019,
2001,DF,2,1,1,M,55,508.9659943,708.8422357,0.336433333,0.033233333,1.375583768,soils re-processed and analyzed in July 2019,
2001,DF,2,1,1,D,94,499.2400742,1208.08231,0.136166667,0.020633333,1.280102754,soils re-processed and analyzed in July 2019,
2001,DF,2,2,1,S,23,228.429375,228.429375,2.013,0.145266667,0.993171196,soils re-processed and analyzed in July 2019,
2001,DF,2,2,1,M,43,211.407149,439.836524,0.5753,0.045166667,,soils re-processed and analyzed in July 2019,Bulk density outlier=1.057
2001,DF,2,2,1,D,100,787.0678325,1226.904356,0.142133333,0.0153,1.380820759,soils re-processed and analyzed in July 2019,
2001,DF,2,3,1,S,12,124.6971351,124.6971351,2.0234,0.148633333,1.039142792,soils re-processed and analyzed in July 2019,
2001,DF,2,3,1,M,31,215.6469176,340.3440527,0.642066667,0.052833333,,soils re-processed and analyzed in July 2019,Bulk density outlier=1.135
2001,DF,2,3,1,D,90,805.3243852,1145.668438,0.1018,0.0128,1.364956585,soils re-processed and analyzed in July 2019,
2001,DF,2,4,1,S,22,234.1991346,234.1991346,1.249333333,0.098966667,1.064541521,soils re-processed and analyzed in July 2019,
2001,DF,2,4,1,M,79,773.1457758,1007.34491,0.188366667,0.023933333,1.356396098,soils re-processed and analyzed in July 2019,
2001,DF,2,4,1,D,100,299.3601011,1306.705012,0.059033333,0.010166667,1.425524291,soils re-processed and analyzed in July 2019,
2001,DF,2,5,1,S,15,151.5623988,151.5623988,1.4816,0.114966667,1.010415992,soils re-processed and analyzed in July 2019,
2001,DF,2,5,1,M,51,450.5846388,602.1470376,0.343166667,0.027,1.251623997,soils re-processed and analyzed in July 2019,
